PID,CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,KA_name,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,mobile_ratio,fix_ratio
123759242,Bronze,SOHO,6000.0,VM,2,0.0,0.0,2,40.17,0.0,40.17,31.045,0,1.0,0.0
126145737,Bronze,SOHO,6400.0,VM,3,0.0,0.0,3,40.17,0.0,40.17,13.39,0,1.0,0.0
123506355,Bronze,SOHO,6000.0,DI,2,3.0,0.0,5,40.17,0.0,40.17,20.09,0,1.0,0.0
112595585,Bronze,SOHO,4400.0,MT,1,2.0,0.0,3,40.17,0.0,40.17,40.17,0,1.0,0.0
115097935,Iron,SOHO,4000.0,AD,2,1.0,0.0,3,40.17,0.0,40.17,20.09,0,1.0,0.0
108684074,Gold,VSE,6600.0,RJ,2,11.0,0.0,13,40.17,0.0,40.17,20.09,0,1.0,0.0
112504678,Bronze,SOHO,4644.0,MT,4,0.0,0.0,4,40.33,0.0,40.33,10.08,1,1.0,0.0
833121152,Iron,SOHO,6100.0,VM,5,2.0,0.0,7,40.33,0.0,40.33,8.07,0,1.0,0.0
123654309,Iron,SOHO,6100.0,DI,3,0.0,0.0,3,40.33,0.0,40.33,13.44,0,1.0,0.0
123688980,Bronze,SOHO,6280.0,UNKNOW,1,0.0,0.0,1,40.33,0.0,40.33,40.33,0,1.0,0.0
112624478,Bronze,SOHO,4550.0,MT,3,0.0,0.0,3,40.5,0.0,40.5,13.5,0,1.0,0.0
833063667,Bronze,SOHO,6000.0,VM,4,1.0,0.0,5,40.5,0.0,40.5,10.13,0,1.0,0.0
123756730,Iron,SOHO,6000.0,DI,2,0.0,0.0,2,40.5,0.0,40.5,20.25,0,1.0,0.0
115080505,Iron,SOHO,4230.0,AD,4,0.0,0.0,4,40.67,0.0,40.67,10.17,0,1.0,0.0
112593997,Bronze,SOHO,4550.0,MT,5,1.0,0.0,6,40.83,0.0,40.83,8.17,0,1.0,0.0
115028540,Bronze,SOHO,4300.0,AD,3,1.0,0.0,4,40.83,0.0,40.83,13.61,0,1.0,0.0
115050907,Iron,SOHO,4015.0,AD,3,8.0,0.0,11,40.83,0.0,40.83,13.61,0,1.0,0.0
115082883,Gold,VSE,4000.0,AD,7,25.0,0.0,32,40.83,0.0,40.83,5.83,0,1.0,0.0
112594661,Bronze,SOHO,4500.0,AD,2,0.0,0.0,2,40.83,0.0,40.83,20.42,0,1.0,0.0
123104639,Bronze,SOHO,6000.0,UNKNOW,1,3.0,0.0,4,40.83,0.0,40.83,40.83,0,1.0,0.0
112131909,Iron,SOHO,4400.0,MT,4,0.0,0.0,4,41.0,0.0,41.0,10.25,1,1.0,0.0
115505931,Iron,SOHO,4004.0,VU,4,0.0,0.0,4,41.0,0.0,41.0,10.25,0,1.0,0.0
